number,value,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,params_target_horizon,params_threshold_buy,params_threshold_sell,state
0,0.3770908004778972,0.7838931798995596,7,0.7927554481178596,0.4899487453578989,0.8550321924597868,0.02706978536100716,6,85,67,9,0.0014302478518320634,0.008001446271619311,COMPLETE
1,0.3078037298569618,0.775139120572842,1,0.8435602047093212,0.003598583976090697,0.5099754256004871,0.04336521614977849,4,36,59,30,0.008903066691128062,0.007751147469133371,COMPLETE
2,0.3849503500193354,0.7997736096739336,10,0.5782556342492984,0.2261124434418399,0.7750717558975023,0.012055776571873388,3,96,92,30,0.0030021765106162785,0.0026619952950346867,COMPLETE
3,0.30145568454026167,0.7700703716215725,6,0.6766516777646627,0.9466766415752386,0.6849155405840647,0.06004785740329555,6,47,59,5,0.00714615089820249,0.007294727937968973,COMPLETE
4,0.3050538222952016,0.793118811730921,6,0.607308898053135,0.5196323161669301,0.9544347635533215,0.019893121653135355,5,67,61,17,0.00695195428883106,0.008201768393280861,COMPLETE
5,0.29922135706340375,0.7289065120091882,10,0.7681567805456118,0.8899803182378091,0.02843840072897863,0.037255670216880685,7,70,41,11,0.006995343194165934,0.006936390089968556,COMPLETE
6,0.37167472920835126,0.7265364614254916,1,0.5659931464675966,0.6851377002395455,0.40547990969173786,0.029260828670816467,7,24,55,26,0.0028690437764484072,0.0047189426148631025,COMPLETE
7,0.2649832498829293,0.7406419554556709,2,0.7567040556628244,0.8784396318454263,0.4375819545057922,0.08153142803156035,7,99,110,23,0.007448994665556761,0.001968376172435693,COMPLETE
8,0.3024623300257258,0.7325070396250527,1,0.5681448862383233,0.826684252291289,0.14591535659301325,0.015591126128150551,6,46,114,8,0.006872432822516129,0.00788987846854898,COMPLETE
9,0.3813455434959054,0.7253183478277494,3,0.5607608602707631,0.5610731284404845,0.600927793324559,0.060706179634415686,3,47,97,9,0.004291084133072505,0.004784436376656825,COMPLETE
10,0.46773028235463737,0.755719007362466,10,0.6784157401480883,0.1707771785782382,0.8055475314297299,0.011167532157450378,3,96,86,18,0.004263718206743661,0.0010678994996110233,COMPLETE
11,0.4807759883045284,0.7599949831378396,10,0.660174105944668,0.16607102754580633,0.7645035012054323,0.012053110384193516,3,99,83,18,0.004365592018619289,0.0010428102060018414,COMPLETE
12,0.4496035319019986,0.7565668510397684,8,0.6725009338996027,0.23146517291654978,0.9885162404684628,0.010010799187801052,4,83,81,17,0.004874697696589682,0.0010834804235565789,COMPLETE
13,0.3644111279802069,0.7554355977843926,8,0.6379149059513165,0.2032511744445078,0.7915472575315643,0.018142134191955893,4,84,79,20,0.0036533645097341864,0.0033957487294059784,COMPLETE
14,0.36508668624345947,0.7081714030854724,9,0.5034348397996973,0.0736831324874709,0.6332545484814935,0.013387840601749038,3,92,78,13,0.0051678871976060595,0.00954611423117646,COMPLETE
15,0.39144036547103817,0.7673269303495616,4,0.7204609675033543,0.3746407473885471,0.26691104712702285,0.022961017861654855,4,74,97,14,0.0012031420384130548,0.0010105975256357875,COMPLETE
16,0.3077654866842325,0.7469517057754446,9,0.7061775099568876,0.3559042815308861,0.8606925888410363,0.01047413527443868,3,60,46,21,0.005842273920687909,0.00345707521698037,COMPLETE
17,0.49048182227767384,0.7617655268716618,10,0.6342240728990782,0.10681682400496756,0.7155324796400453,0.014551800938544903,5,89,72,25,0.002096383184379618,0.00214795580114488,COMPLETE
18,0.448410638354066,0.7755636542344264,5,0.6384986820863423,0.3342739088396929,0.6982937660649393,0.0170117819096415,5,77,69,25,0.002157847863214531,0.002523929984439136,COMPLETE
19,0.40228296608092234,0.7010875952540643,8,0.8902843966951732,0.07644305158749437,0.5462199182363165,0.014674553078252472,5,61,71,25,0.002167191619622626,0.005873049799170837,COMPLETE
20,0.28811295554283534,0.7647726573792274,9,0.5107242330726369,0.12178858491233338,0.3461605756137835,0.023514254686801562,6,89,47,27,0.009699236845045586,0.004162044269250154,COMPLETE
21,0.3801659060248572,0.760364984019053,10,0.6364081663298562,0.18952602678656527,0.7619668339683725,0.013147505681304662,3,100,87,19,0.0038364537288071636,0.0019019755344442735,COMPLETE
22,0.34353973609980276,0.7469173122818032,10,0.6746869331809724,0.012642973596659779,0.8877292938770776,0.011635403429925086,4,91,74,15,0.004632087216868178,0.0019422876909316001,COMPLETE
23,0.365691794264885,0.7379185602751276,7,0.7364365775361927,0.28943888689903097,0.7088110179529243,0.019922643027423036,5,81,86,22,0.005876624964229378,0.0015026035432141507,COMPLETE
24,0.3722839334752692,0.7525313713561957,9,0.6098692104750868,0.12830535367479762,0.6127087921791543,0.015009769868015234,3,94,105,19,0.003257272320223333,0.002902573938660865,COMPLETE
25,0.41562031418977224,0.7824591883795522,10,0.6838973729306754,0.39441681889123986,0.9056851402968661,0.010251645653705213,4,100,65,16,0.002238495622903714,0.003631763147877813,COMPLETE
26,0.3515584389710263,0.7598400163840704,7,0.6070174472019028,0.4340263708881541,0.8050740639967466,0.012626517325599523,3,88,87,23,0.004153625981428625,0.0022810591872534035,COMPLETE
27,0.38291495739123826,0.7455400798888114,8,0.6518300980294051,0.27804550302785,0.7122696194310966,0.022927177680291615,4,79,103,12,0.00552677866784434,0.0013555126702622096,COMPLETE
28,0.37828137475292317,0.7173771587463426,9,0.8062330288284694,0.16176987358876335,0.5904926414878631,0.017599967570371765,5,93,75,18,0.0027302066187871316,0.0058079877783521056,COMPLETE
29,0.3395221756352287,0.7846433122567862,7,0.7058392489559393,0.6519982911880007,0.8327158876222409,0.02664751360621132,6,86,65,27,0.0015582413044800312,0.0028521284669547724,COMPLETE
30,0.31578398386610373,0.7747794601204009,10,0.538104423829518,0.08140430972571527,0.9168996129291236,0.011752488903799442,3,73,52,21,0.006316790749913981,0.0015604121724600787,COMPLETE
31,0.4548560848331433,0.7571995102949329,8,0.6626265883671855,0.24686556314174798,0.9782325904006732,0.010431947293387093,4,84,82,16,0.004896651740180095,0.0010249583157527849,COMPLETE
32,0.49021666759376387,0.7632026936370181,9,0.6508871671246452,0.2795272465891762,0.9407972645055109,0.014221869242364234,4,96,83,16,0.0035208918419757573,0.0010033363548003725,COMPLETE
33,0.4269503982839404,0.7636510879380701,9,0.6149764070285676,0.028975895348151287,0.7527026889320728,0.014630457224829115,4,96,92,14,0.0036596734416133913,0.0017672068248693535,COMPLETE
34,0.38843500894219485,0.7747055784748654,10,0.6939720184465176,0.136241816106579,0.848455533095771,0.03729461995464817,3,95,73,11,0.0032965391239925435,0.002345425035087693,COMPLETE
35,0.42610140351884035,0.7829098767774433,10,0.5911349004545517,0.45961140673090695,0.6582209340227776,0.012141243351700743,5,90,84,30,0.0017696787794888073,0.0031980969563958914,COMPLETE
36,0.5023277321359536,0.7690325714362991,9,0.6311743763129807,0.2802901436244059,0.9333292433152796,0.01613400816660102,3,100,92,18,0.002629759902316255,0.002148589746716762,COMPLETE
37,0.3363244161139198,0.769934773480955,9,0.625142996313984,0.3143964734636224,0.9296576842271704,0.020637553091440657,4,20,120,28,0.0010339711617050706,0.003983148362436289,COMPLETE
38,0.4363532068112918,0.7904441291488911,6,0.6537960062404509,0.5506736267874721,0.9950351847583753,0.016562485643518025,5,38,94,5,0.002417072232338729,0.002594210650814277,COMPLETE
39,0.38711257865111426,0.7788034063404273,5,0.587760281087527,0.2589446581165672,0.867105965290275,0.03299030827747564,3,99,102,23,0.0028533842041818863,0.006448099361705305,COMPLETE
40,0.3091891891891892,0.7998740658279349,7,0.738484887836399,0.42712055902043566,0.5393174779141132,0.013634526284739932,4,63,67,16,0.00808969566347844,0.008528727436739412,COMPLETE
41,0.34802726115695687,0.7518883212393168,10,0.6538891675940096,0.18398258924736277,0.8075262374057622,0.011361518098501047,3,96,90,18,0.004253336556880048,0.0020510932814825147,COMPLETE
42,0.492895477284312,0.7625163053966352,9,0.6918108520783633,0.2179693529313216,0.9365981491491127,0.014037592090736739,3,96,78,19,0.003354263870280748,0.001489312465455655,COMPLETE
43,0.46831724856803225,0.7627112671322562,9,0.7912113053124674,0.21712365655537122,0.9451219815569762,0.01551373646397969,3,88,61,20,0.003358913882980149,0.0015756633032108767,COMPLETE
44,0.49886734802761884,0.7695414234577349,8,0.7206326347297727,0.3135713221978604,0.7457913660627288,0.05722613731729493,3,100,77,15,0.001867519679089312,0.0022217280307361142,COMPLETE
45,0.36939571150097467,0.7899211620218825,8,0.7272586048692654,0.3073591098941748,0.9372354484929926,0.05293173709036354,3,93,78,14,0.0017720956392140615,0.004864456526042792,COMPLETE
46,0.39209330159248273,0.7696878203099022,8,0.762037470782112,0.2389144910658617,0.42987735563194,0.052931436855850854,4,97,78,12,0.002565628803209724,0.0030434383840860406,COMPLETE
47,0.3638089830488425,0.7667586547267801,9,0.6998599075269285,0.6289606233081653,0.887309333304751,0.09207759875243832,6,86,71,17,0.0018508064043297383,0.0022732515125264596,COMPLETE
48,0.40444017647763203,0.7705264656677032,8,0.7830254077192569,0.4007678099927092,0.7384684597945359,0.018678955812725245,3,100,76,15,0.0014524397341157114,0.004073128051743519,COMPLETE
49,0.4879015012554431,0.7402531435228097,7,0.747580655578954,0.7763439131155866,0.03524460756189929,0.06601006543504948,4,91,62,9,0.0029174600799516297,0.002640393167235509,COMPLETE
